"","x"
"767","OR5T1"
"768","OR8H1"
"769","NDUFV2"
"770","OR8I1P"
"771","OR8K3"
"772","FAM8A2P"
"773","OR8K2P"
"774","OR8K1"
"775","RPL5P29"
"776","OR8J1"
"777","OR8U8"
"778","OR8U9"
"779","OR8L1P"
"780","KCNJ15"
"781","CELF4"
"782","MAPK6P2"
"783","ZNF355P"
"784","CRYZL1"
"785","GNG5P5"
"786","FNDC3A"
"787","BNIP3P43"
"788","N6AMT1"
"789","FHP1"
"790","FREM2-AS1"
"791","LHFPL6"
"792","POLR3KP1"
"793","ANKRD30BP1"
"794","SLC25A5P4"
"795","VN1R8P"
"796","SPATA13-AS1"
"797","GTF2IP2"
"798","PRR20FP"
"799","DNAJA1P1"
"800","ELL2P3"
"801","AKAP11"
"802","ADAMTS5"
"803","MZT1"
"804","SNRPGP13"
"805","MIR6724-2"
"806","MIR6724-3"
"807","RNA5-8SN3"
"808","LINC00374"
"809","MIR6724-4"
"810","RNA5-8SN1"
"811","PROSER1"
"812","MIR6724-1"
"813","AKAIN1"
"814","MIR3648-1"
"815","RNA5-8SN2"
"816","MIR3118-1"
"817","SLC14A2"
"818","RNU6-286P"
"819","RN7SL52P"
"820","RNU6-113P"
"821","RN7SKP147"
"822","RNU6-772P"
"823","RNU2-55P"
"824","RNU1-139P"
"825","RNU4-45P"
"826","MIR3156-3"
"827","RN7SKP236"
"828","RN7SL163P"
"829","MIR6130"
"830","RNA5SP489"
"831","MIR4759"
"832","MIR548X"
"833","RNU6-614P"
"834","SNORA62"
"835","SNORA80A"
"836","C2CD2"
"837","RALBP1"
"838","RPL37P21"
"839","ERICH6B"
"840","LINC00547"
"841","RPL13AP25"
"842","MARK2P12"
"843","PIBF1"
"844","SS18"
"845","ZBTB21"
"846","ABCD1P4"
"847","PABPC1P9"
"848","SLC9B1P4"
"849","ACTR3BP6"
"850","UMODL1-AS1"
"851","RPL34P3"
"852","EZH2P1"
"853","MIR802"
"854","RPS20P1"
"855","PPP1R2P2"
"856","RPL23AP3"
"857","RIMKLBP1"
"858","RNU6-992P"
"859","CBR1"
"860","FABP5P1"
"861","BORA"
"862","RPS9P1"
"863","CBR3"
"864","RPL3P1"
